Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,578,1,Apr 1,PIT,,CHC,L1-3,CG,4,3,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,.333,.500,.667,1.167,3,.89,0.009,.94,0.01%,0.25,CF
2,579,2,Apr 3,PIT,,CHC,W3-0,CG,4,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,.333,.500,.667,1.167,3,.66,0.170,.71,0.11%,1.41,CF
3,580,3,Apr 4,PIT,,CHC,L2-3,CG,4,4,0,1,0,0,0,1,0,0,2,0,0,0,1,0,2,0,.300,.417,.500,.917,3,2.09,0.260,2.23,0.17%,1.42,CF
4,581,4,Apr 5,PIT,@,LAD,L0-3,CG,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.308,.400,.462,.862,3,.70,-0.041,.65,-0.02%,-0.36,CF
5,582,5,Apr 6,PIT,@,LAD,L0-1,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.235,.316,.353,.669,3,1.62,-0.176,1.42,-0.09%,-0.96,CF
6,583,6,Apr 7,PIT,@,LAD,L2-6,CG,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.238,.304,.476,.781,3,.95,0.128,.85,0.07%,1.21,CF
7,584,7,Apr 8,PIT,@,ARI,W5-3,CG,4,2,1,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,.261,.333,.522,.855,3,1.33,0.156,1.09,0.08%,1.39,CF
8,585,8,Apr 9,PIT,@,ARI,W6-5,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.313,.464,.777,3,.79,-0.047,.65,-0.02%,-0.59,CF
9,586,9,Apr 10,PIT,@,ARI,L2-10,GS-6,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.233,.314,.433,.748,3,.51,-0.026,.48,-0.02%,-0.24,CF
10,587,10,Apr 12,PIT,,CIN,W6-5,CG,4,4,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.265,.333,.529,.863,3,1.23,0.269,1.22,0.16%,1.67,CF
11,588,11,Apr 13,PIT,,CIN,W3-1,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.243,.326,.486,.812,3,.65,-0.053,.67,-0.03%,-0.68,CF
12,589,12,Apr 14,PIT,,CIN,W10-7,CG,5,5,2,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,.262,.333,.500,.833,3,.51,0.064,.56,0.04%,1.41,CF
13,590,13,Apr 15,PIT,,STL,L6-10,GS-9,5,5,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.255,.321,.489,.810,3,.76,-0.089,.94,-0.07%,-0.35,CF
14,591,14,Apr 17,PIT,,STL,W5-0,CG,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.275,.333,.490,.824,3,.52,-0.045,.58,-0.03%,-0.22,CF
15,592,15,Apr 18,PIT,,ATL,L4-6,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.328,.491,.819,3,1.56,-0.065,1.56,-0.04%,-0.20,CF
16,593,16,Apr 19,PIT,,ATL,W6-0,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.259,.323,.466,.789,3,.50,-0.018,.46,-0.01%,0.35,CF
17,594,17,Apr 20,PIT,,ATL,W3-1,CG,4,4,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,.274,.333,.500,.833,3,1.01,0.224,1.00,0.13%,1.02,CF
18,595,18,Apr 21,PIT,,ATL,W4-2,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.329,.485,.814,3,1.50,-0.049,1.45,-0.03%,-0.41,CF
19,596,19,Apr 22,PIT,@,PHI,L2-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.257,.312,.457,.769,3,1.67,-0.187,1.75,-0.12%,-1.19,CF
