Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,1561,1,Jul 24,PHI,,MIA,L2-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.000,.000,.000,.000,1,1.09,-0.150,1.26,-0.11%,-1.60,,,LF
2,1562,2,Jul 25,PHI,,MIA,W7-1,GS-9,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,1,.76,-0.097,.89,-0.07%,-1.44,,,LF
3,1563,4 (1),Aug 3,PHI,@,NYY,L3-6,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.071,.071,.071,.143,1,.77,-0.093,.81,-0.06%,-1.27,,,LF
4,1564,5,Aug 5 (1),PHI,,NYY,W11-7,CG(7),5,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.059,.158,.059,.217,1,.71,-0.001,.74,0.00%,0.13,,,LF
5,1565,6,Aug 5 (2),PHI,,NYY,L1-3,7-GF(7),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.056,.150,.056,.206,6,1.96,-0.051,2.08,-0.03%,-0.26,,,PH
6,1566,7,Aug 6,PHI,,NYY,W5-4,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.136,.208,.182,.390,1,.75,0.027,.76,0.02%,0.18,,,LF
7,1567,8,Aug 8,PHI,,ATL,W5-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.115,.179,.154,.332,1,.53,-0.055,.63,-0.04%,-0.80,,,DH
8,1568,9,Aug 9 (1),PHI,,ATL,L2-5,3-GF(7),3,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,.143,.194,.179,.372,1,1.15,0.034,1.42,0.03%,0.34,,,PH LF
9,1569,10,Aug 9 (2),PHI,,ATL,L0-8,GS-7,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.133,.206,.167,.373,1,.81,-0.032,1.02,-0.02%,-0.22,,,LF
10,1570,12 (1),Aug 11,PHI,,BAL,L9-10,GS-9,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.147,.211,.176,.387,1,.92,0.087,1.02,0.06%,0.85,,,LF
