Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,1,18 (17),Apr 20,PIT,,SFG,W3-1,CG(5),2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.500,.500,.500,1.000,5,.54,-0.005,.63,0.00%,-0.04,,,CF
2,2,19,Apr 21,PIT,,SFG,L2-3,CG,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.667,.667,.833,1.500,7,1.74,-0.010,2.10,-0.01%,0.21,,,CF
3,3,20,Apr 22,PIT,,ARI,L4-12,GS-8,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.500,.500,.700,1.200,6,1.29,-0.080,1.54,-0.06%,-0.21,,,CF
4,4,21,Apr 23,PIT,,ARI,L1-2,GS-4,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.500,.500,.667,1.167,6,1.29,0.008,1.50,0.01%,0.02,,,CF
5,5,24 (2),Apr 26,PIT,@,LAD,L2-6,CG,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.438,.438,.625,1.063,7,.89,0.035,.90,0.02%,0.18,,,CF
6,6,25,Apr 27,PIT,@,LAD,L1-3,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.400,.400,.600,1.000,6,.58,-0.020,.57,-0.01%,-0.16,,,CF
7,7,26,Apr 28,PIT,@,LAD,L6-7,7-7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.429,.429,.619,1.048,9,.78,0.022,.74,0.01%,0.13,,,PH
8,8,27,Apr 30,PIT,@,TEX,W6-4,CG(11),5,5,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.423,.423,.731,1.154,8,1.58,0.228,1.24,0.11%,0.37,,,LF
9,9,28,May 1,PIT,@,TEX,W7-5,CG,4,3,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,.414,.433,.724,1.157,7,1.43,0.180,1.18,0.09%,1.80,,,LF
10,10,29,May 3,PIT,,OAK,L1-14,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.394,.412,.667,1.078,5,.21,-0.019,.19,-0.01%,-0.11,,,LF
11,11,30,May 4,PIT,,OAK,W6-4,CG,4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.417,.447,.667,1.114,5,1.78,0.038,1.51,0.02%,0.48,,,LF
12,12,31,May 5,PIT,,OAK,W5-3,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.405,.436,.649,1.085,9,1.48,-0.042,1.29,-0.02%,-0.24,,,PH
13,13,32,May 7,PIT,,TEX,W5-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.366,.395,.585,.981,5,.97,-0.077,.90,-0.04%,-0.82,,,LF
14,14,33,May 8,PIT,,TEX,L6-9,7-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.357,.386,.571,.958,2,.18,-0.005,.17,0.00%,-0.11,,,PR LF
15,15,34,May 9,PIT,@,STL,L4-17,7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.357,.386,.571,.958,5,,,,,,,,LF
16,16,35,May 10,PIT,@,STL,W2-1,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.348,.375,.543,.918,5,.79,-0.057,.80,-0.03%,-0.71,,,LF
17,17,36,May 11,PIT,@,STL,W2-1,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.320,.346,.500,.846,5,.86,-0.084,.93,-0.06%,-0.87,,,LF
18,18,37,May 12,PIT,@,STL,W10-6,CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.296,.333,.463,.796,2,.80,-0.036,.88,-0.02%,-0.56,,,LF
19,19,38,May 13,PIT,@,ARI,L3-9,CG,5,5,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.305,.339,.458,.796,5,.78,0.036,.87,0.02%,-0.95,,,LF
20,20,39,May 14,PIT,@,ARI,W6-2,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.333,.450,.783,9,.02,-0.001,.02,0.00%,-0.11,,,PH LF
21,21,41 (1),May 16,PIT,@,SDP,L3-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.297,.328,.438,.766,5,.83,-0.055,.84,-0.03%,-0.37,,,LF
22,22,42,May 17,PIT,@,SDP,W5-3,CG,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.309,.338,.485,.823,5,.94,0.231,.91,0.13%,1.66,,,LF
23,23,43,May 18,PIT,@,SDP,W7-2,CG,5,3,1,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,.310,.355,.521,.876,5,.29,0.094,.31,0.06%,1.08,,,LF
24,24,44,May 19,PIT,@,SDP,W6-4,CG,4,4,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.320,.363,.533,.896,5,.58,0.040,.66,0.03%,-0.14,,,CF LF
25,25,45,May 21,PIT,,COL,L0-5,CG,4,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.325,.381,.545,.926,3,.33,0.023,.39,0.02%,0.45,,,LF
26,26,46,May 22,PIT,,COL,L3-9,CG,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.313,.375,.525,.900,5,.52,-0.042,.59,-0.03%,0.02,,,LF
27,27,47,May 23,PIT,,COL,W14-6,7-GF,1,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.321,.382,.568,.950,9,.48,0.049,.51,0.03%,2.50,,,PH LF
28,28,48,May 24,PIT,,LAD,L2-10,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.318,.376,.553,.929,5,.37,0.007,.40,0.01%,-0.13,,,LF
29,29,49,May 25,PIT,,LAD,L2-7,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.315,.371,.539,.910,2,.67,-0.014,.73,-0.01%,-0.18,,,LF
30,30,50,May 26,PIT,,LAD,L7-11,CG,5,5,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.319,.373,.564,.936,5,.60,0.152,.60,0.09%,1.24,,,LF
31,31,51,May 27 (1),PIT,@,CIN,W8-5,CG,5,5,1,1,0,1,0,2,0,0,2,0,0,0,0,1,0,0,.313,.364,.566,.930,2,2.08,0.116,2.01,0.07%,0.09,,,LF
32,32,52,May 27 (2),PIT,@,CIN,L1-8,CG,4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.320,.369,.573,.942,3,.31,0.020,.33,0.01%,-0.02,,,LF
33,33,53,May 28,PIT,@,CIN,L6-11,7-9,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.327,.381,.577,.957,6,.03,0.002,.03,0.00%,0.64,,,LF
34,34,54,May 29,PIT,@,CIN,W7-2,CG,5,4,2,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.333,.390,.574,.964,2,.68,0.082,.67,0.05%,0.82,,,LF
35,35,55,May 30,PIT,,MIL,L5-11,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.339,.393,.571,.965,5,1.04,0.011,1.19,0.01%,0.30,,,LF
36,36,56,May 31,PIT,,MIL,W9-4,CG,5,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.345,.402,.569,.971,5,.66,0.054,.71,0.04%,0.86,,,LF
37,37,57,Jun 1,PIT,,MIL,L10-12,3-4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.345,.406,.569,.975,9,2.00,0.037,2.40,0.03%,0.34,,,PH
38,38,58,Jun 2,PIT,,MIL,L2-4,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.350,.409,.575,.984,2,.84,0.098,.89,0.06%,0.48,,,LF
39,39,59,Jun 4,PIT,,ATL,L5-12,CG,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.347,.409,.565,.973,2,.58,-0.016,.48,-0.01%,-0.19,,,LF
40,40,60,Jun 5,PIT,,ATL,W7-4,CG,5,5,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,.341,.401,.550,.952,2,.45,0.080,.35,0.04%,0.76,,,LF
41,41,61,Jun 6,PIT,,ATL,W6-1,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.338,.397,.541,.939,2,.48,0.009,.40,0.01%,0.51,,,LF
42,42,62,Jun 7,PIT,@,MIL,L4-10,CG,4,4,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,.343,.400,.555,.955,2,.95,0.006,1.02,0.00%,1.29,,,CF
43,43,63,Jun 8,PIT,@,MIL,L3-5,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.340,.396,.546,.942,2,1.43,-0.053,1.36,-0.03%,-0.14,,,RF
44,44,64,Jun 9,PIT,@,MIL,L2-5,CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.345,.399,.545,.944,2,.77,0.026,.65,0.01%,-0.02,,,LF
45,45,65,Jun 10,PIT,@,ATL,L7-13,CG,5,5,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,.333,.387,.527,.913,2,.59,0.001,.37,0.00%,-0.47,,,LF
46,46,66,Jun 11,PIT,@,ATL,L5-7,8-8,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.338,.390,.543,.933,8,.65,0.065,.37,0.02%,1.14,,,PH
47,47,67,Jun 12,PIT,@,ATL,L7-8,8-GF(11),2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.386,.536,.921,9,2.79,-0.113,1.49,-0.04%,-0.55,,,PH LF
48,48,68,Jun 13,PIT,@,ATL,L5-6,CG,5,4,1,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,.344,.398,.554,.952,2,1.11,0.276,.51,0.08%,2.50,,,LF
49,49,69,Jun 14,PIT,@,MIA,W11-0,CG,5,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.358,.409,.568,.977,2,.50,0.033,.19,0.01%,1.83,,,RF
50,50,70,Jun 15,PIT,@,MIA,L3-4,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.358,.411,.564,.975,2,1.00,0.019,.46,0.01%,-0.10,,,RF
51,51,71,Jun 16,PIT,@,MIA,W5-4,CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.355,.411,.556,.967,2,1.36,0.020,.55,0.01%,-0.29,,,CF LF
52,52,72,Jun 18,PIT,,DET,L4-5,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.347,.405,.543,.949,2,2.47,-0.198,1.12,-0.05%,-0.90,,,LF
